organisation,slug,body_type,govuk_status,parent,total_docs,relevant_docs,guidance,statutory_guidance,detailed_guide,manual_section,manual,policy_paper,decision,regulation,notice,research,independent_report,impact_assessment,corporate_report,consultation_outcome,government_response,other_relevant
Great Britain-China Centre,great-britain-china-centre,Executive non-departmental public body,exempt,foreign-commonwealth-development-office,23,20,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0
Great British Energy,great-british-energy,Other,exempt,department-for-energy-security-and-net-zero,28,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
Great British Energy – Nuclear,great-british-energy-nuclear,Executive non-departmental public body,live,department-for-energy-security-and-net-zero,38,14,6,0,1,0,0,3,0,0,1,0,0,0,3,0,0,0
Great British Nuclear,great-british-nuclear,Executive non-departmental public body,closed,department-for-energy-security-and-net-zero,30,13,4,0,1,0,0,3,0,0,2,0,0,0,3,0,0,0
Great Yarmouth Education Action Zone,great-yarmouth-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Greenwich Education Action Zone,greenwich-education-action-zone,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Groceries Code Adjudicator,groceries-code-adjudicator,Other,live,department-for-business-and-trade,316,49,10,1,0,0,0,7,2,0,4,0,0,0,23,2,0,0
H.M. Customs and Excise,hm-customs-and-excise,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
H.M. Inspectorate of Court Administration,hm-inspectorate-of-court-administration,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
H.M. Inspectorate of Explosives for Northern Ireland,hm-inspectorate-of-explosives-for-northern-ireland,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Hackney Education Action Zone,hackney-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hamilton Oxford Education Action Zone,hamilton-oxford-education-action-zone,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Hastings and St Leonards Education Action Zone,hastings-and-st-leonards-education-action-zone,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Health and Safety Executive,health-and-safety-executive,Executive non-departmental public body,exempt,department-for-work-pensions,318,83,3,0,10,0,0,11,1,0,0,12,3,2,30,3,0,8
Health and Social Care Information Centre,health-and-social-care-information-centre,Executive non-departmental public body,closed,department-of-health-and-social-care,721,7,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0
Health Education England,health-education-england,Executive non-departmental public body,closed,department-of-health-and-social-care,43,40,0,0,1,0,0,25,0,0,0,1,0,0,12,1,0,0
Health Equity in Health Protection Initiative,health-equity-in-health-protection-initiative,Sub organisation,live,uk-health-security-agency,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Protection Agency,health-protection-agency,Executive agency,closed,,10,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Health Research Authority,health-research-authority,Executive non-departmental public body,exempt,department-of-health-and-social-care,18,15,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0
Health Services Safety Investigations Body,health-services-safety-investigations-body,Executive non-departmental public body,exempt,department-of-health-and-social-care,6,5,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0
Healthcare Commission,healthcare-commission,Other,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Hearing Aid Council,hearing-aid-council,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Heart of Slough Education Action Zone,heart-of-slough-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Her Majesty's Magistrates Courts Service Inspectorate,her-majestys-magistrates-courts-service-inspectorate,Other,closed,ministry-of-justice,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Heritage Lottery Fund (administered by the NHMF),heritage-lottery-fund,Executive non-departmental public body,closed,department-for-digital-culture-media-sport,26,12,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0
High Speed Two (HS2) Limited,high-speed-two-limited,Executive non-departmental public body,live,department-for-transport,2437,1380,141,3,2,0,0,211,2,0,3,64,81,759,68,46,0,0
Higher Education Funding Council for England,higher-education-funding-council-for-england,Executive non-departmental public body,closed,department-for-education,35,20,0,0,0,0,0,1,0,0,0,0,2,0,17,0,0,0
Higher Education Statistics Agency,higher-education-statistical-agency,Other,exempt,department-for-business-innovation-skills,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Highways Agency,highways-agency,Executive agency,closed,department-for-transport,1242,127,1,1,0,0,0,7,0,0,0,18,1,1,51,22,16,9
Highways England,highways-england,Other,closed,department-for-transport,1883,220,47,0,5,0,0,5,1,0,18,52,0,0,71,20,1,0
Hillsborough Independent Panel,hillsborough-independent-panel,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Historic England,historic-england,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,39,7,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0
Historic Royal Palaces,historic-royal-palaces,Public corporation,exempt,department-for-culture-media-and-sport,17,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
HM Courts & Tribunals Service,hm-courts-and-tribunals-service,Executive agency,live,ministry-of-justice,156942,2534,181,1,126,0,0,7,1,0,1,19,2,0,52,12,12,2120
HM Courts Service,hm-court-service,Executive agency,closed,,22,19,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0
HM Crown Prosecution Service Inspectorate,hm-crown-prosecution-service-inspectorate,Other,exempt,attorney-generals-office,195,18,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2
HM Government Communications Centre,hm-government-communications-centre,Other,exempt,foreign-commonwealth-development-office,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM Inspectorate of Constabulary,hm-inspectorate-of-constabulary,Other,closed,home-office,42,22,4,0,0,0,0,0,0,0,0,2,2,0,8,3,0,3
HM Inspectorate of Constabulary and Fire & Rescue Services,hm-inspectorate-of-constabulary-and-fire-rescue-services,Other,exempt,home-office,87,50,9,0,1,0,0,5,0,0,0,7,7,0,9,11,0,1
HM Inspectorate of Prisons,hm-inspectorate-of-prisons,Other,exempt,ministry-of-justice,56,39,3,0,0,0,0,1,0,0,0,4,0,0,27,2,0,2
HM Inspectorate of Probation,hm-inspectorate-of-probation,Other,exempt,ministry-of-justice,40,18,7,0,1,0,0,0,0,0,0,6,0,0,2,1,0,1
HM Land Registry,land-registry,Non-ministerial department,live,ministry-of-housing-communities-local-government,1849,328,123,5,144,0,0,1,0,0,0,1,0,0,49,5,0,0
HM Nautical Almanac Office,hm-nautical-almanac-office,Sub organisation,live,uk-hydrographic-office,17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HM Passport Office,hm-passport-office,Sub organisation,live,home-office,673,394,371,0,0,0,0,3,0,0,0,4,0,2,13,1,0,0
HM Prison and Probation Service,hm-prison-and-probation-service,Executive agency,live,ministry-of-justice,1571,1016,235,0,440,0,0,221,0,0,1,24,14,0,76,5,0,0
HM Prison Service,hm-prison-service,Sub organisation,live,hm-prison-and-probation-service,114,44,9,1,13,0,0,2,0,0,0,0,1,0,18,0,0,0
HM Revenue & Customs,hm-revenue-customs,Non-ministerial department,live,,100281,8487,1611,76,2047,924,66,1905,10,0,73,766,4,100,454,336,23,92
HM Treasury,hm-treasury,Ministerial department,live,,9657,3359,603,19,26,0,0,1291,0,0,15,146,59,9,755,359,4,73
Home Office,home-office,Ministerial department,live,,13921,3943,1277,47,123,101,1,1162,2,0,17,357,194,68,305,246,11,32
Home-Grown Cereals Authority,home-grown-cereals-authority,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Homes and Communities Agency,homes-and-communities-agency,Executive non-departmental public body,closed,ministry-of-housing-communities-and-local-government-2018-2021,299,24,4,0,1,0,0,7,0,0,0,0,0,0,2,9,0,1
Homes England,homes-england,Executive non-departmental public body,live,ministry-of-housing-communities-local-government,649,228,89,0,68,32,2,5,0,0,1,12,0,0,19,0,0,0
Horniman Public Museum and Public Park Trust,horniman-museum,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Horserace Betting Levy Board,horserace-betting-levy-board,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,21,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Horticultural Development Council,horticultural-development-council,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
House of Lords Appointments Commission,house-of-lords-appointments-commission,Advisory non-departmental public body,exempt,cabinet-office,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Housing Corporation,housing-corporation,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Housing Ombudsman,housing-ombudsman,Executive non-departmental public body,exempt,ministry-of-housing-communities-local-government,18,12,0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,0
HSC Business Services Organisation (Northern Ireland),hsc-business-services-organisation-northern-ireland,Executive non-departmental public body,exempt,department-of-health-northern-ireland,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Human Fertilisation and Embryology Authority,human-fertilisation-and-embryology-authority,Executive non-departmental public body,exempt,department-of-health-and-social-care,28,23,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0
Human Resources Profession,civil-service-human-resources-profession,Sub organisation,closed,civil-service,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Human Tissue Authority,human-tissue-authority,Executive non-departmental public body,exempt,department-of-health-and-social-care,23,21,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0
Hybu Cig Cymru - Meat Promotion Wales,hybu-cig-cymru-meat-promotion-wales,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
ICL Inquiry,icl-inquiry,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Identity and Passport Service,identity-and-passport-service,Other,closed,,11,8,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Immigration Advice Authority,immigration-advice-authority,Executive non-departmental public body,live,home-office,157,81,57,6,10,0,0,1,0,1,0,1,0,0,5,0,0,0
Immigration Enforcement,immigration-enforcement,Sub organisation,live,home-office,606,190,94,1,0,0,0,77,0,0,0,9,0,3,2,2,0,2
Imperial War Museum,imperial-war-museum,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,38,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
Incubator for Artificial Intelligence,incubator-for-artificial-intelligence,Other,closed,department-for-science-innovation-and-technology,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incubator for Automation and Innovation,incubator-for-automation-and-innovation,Other,closed,cabinet-office,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independent Adviser on Ministerial Standards,independent-adviser-on-ministers-interests,Other,live,cabinet-office,58,45,1,0,0,0,0,0,34,0,0,0,10,0,0,0,0,0
Independent Advisory Panel on Deaths in Custody,independent-advisory-panel-on-deaths-in-custody,Advisory non-departmental public body,exempt,ministry-of-justice,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independent Agricultural Appeals Panel,independent-agricultural-appeals-panel,Advisory non-departmental public body,live,department-for-environment-food-rural-affairs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independent Anti-slavery Commissioner,independent-anti-slavery-commissioner,Independent monitoring body,exempt,home-office,11,8,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0
Independent Case Examiner,independent-case-examiner,Other,live,department-for-work-pensions,34,27,2,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0
Independent Chief Inspector of Borders and Immigration ,independent-chief-inspector-of-borders-and-immigration,Independent monitoring body,live,home-office,521,261,5,0,0,0,0,1,0,0,0,1,227,0,27,0,0,0
Independent Commission for Aid Impact,independent-commission-for-aid-impact,Advisory non-departmental public body,exempt,foreign-commonwealth-development-office,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Independent Commission on Civil Aviation Noise,independent-commission-on-civil-aviation-noise,Advisory non-departmental public body,closed,department-for-transport,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Independent Commission on Freedom of Information,independent-commission-on-freedom-of-information,Advisory non-departmental public body,closed,,19,7,0,0,0,0,0,1,0,0,0,4,1,0,1,0,0,0
Independent Complaints Reviewer,independent-complaints-reviewer,Other,exempt,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independent Dormant Assets Commission ,dormant-assets-commission,Advisory non-departmental public body,closed,,7,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Independent Family Returns Panel,independent-family-returns-panel,Other,live,home-office,23,12,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0
Independent Football Regulator,independent-football-regulator,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independent Living Fund,independent-living-fund,Executive non-departmental public body,closed,department-for-work-pensions,132,62,2,0,0,0,0,1,0,0,0,1,0,42,16,0,0,0
Independent Medical Expert Group,independent-medical-expert-group,Other,live,ministry-of-defence,17,12,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Independent Monitoring Authority for the Citizens’ Rights Agreements,independent-monitoring-authority-for-the-citizens-rights-agreements,Executive non-departmental public body,exempt,ministry-of-justice,19,10,0,0,0,0,0,2,0,0,0,0,1,0,7,0,0,0
Independent Monitoring Boards,independent-monitoring-boards-of-prisons-immigration-removal-centres-and-short-term-holding-rooms,Other,exempt,ministry-of-justice,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Independent Monitoring Commission,independent-monitoring-commission,Other,closed,,23,21,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
Independent Office for Police Conduct,independent-office-for-police-conduct,Executive non-departmental public body,exempt,home-office,45,9,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0
Independent Parliamentary Standards Authority ,independent-parliamentary-standards-authority,Executive non-departmental public body,exempt,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independent Police Complaints Commission,independent-police-complaint-commission,Executive non-departmental public body,closed,home-office,43,20,0,0,0,0,0,1,0,0,0,0,4,0,15,0,0,0
Independent Reconfiguration Panel,independent-reconfiguration-panel,Advisory non-departmental public body,live,department-of-health-and-social-care,77,62,3,0,0,0,0,0,0,0,0,0,53,0,5,1,0,0
Independent Review Mechanism,independent-review-mechanism,Other,live,department-for-education,9,5,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0
Independent Review of Police Officer and Staff Remuneration and Conditions,independent-review-of-police-officer-and-staff-remuneration-and-conditions,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Independent Review of the UK Postal Services Sector,independent-review-of-the-uk-postal-services-sector,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Independent Reviewer of Terrorism Legislation,independent-reviewer-of-terrorism-legislation,Other,exempt,home-office,34,28,0,0,0,0,0,1,0,0,0,0,26,0,1,0,0,0
Independent Safeguarding Authority,independent-safeguarding-authority,Other,closed,,7,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Independent Television Commission,independent-television-commission,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Independent Water Commission,independent-water-commission,Other,live,,15,5,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0
Industrial Development Advisory Board,industrial-development-advisory-board,Other,live,,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Industrial Injuries Advisory Council,industrial-injuries-advisory-council,Advisory non-departmental public body,live,department-for-work-pensions,166,135,2,0,0,0,0,0,0,0,1,2,111,0,19,0,0,0
Industrial Strategy Advisory Council,industrial-strategy-advisory-council,Other,live,,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Infected Blood Compensation Authority,infected-blood-compensation-authority,Other,exempt,,74,15,2,0,2,0,0,7,0,0,0,0,2,0,1,1,0,0
Infected Blood Memorial Committee,the-infected-blood-memorial-committee,Other,live,cabinet-office,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information Commissioner's Office,information-commissioner-s-office,Executive non-departmental public body,exempt,department-for-science-innovation-and-technology,69,44,6,0,2,0,0,6,0,0,0,3,6,0,18,2,0,1
Information Services Division (Scotland),information-services-division-scotland,Other,closed,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infrastructure and Projects Authority,infrastructure-and-projects-authority,Other,closed,cabinet-office,280,99,56,0,6,0,0,26,0,0,0,4,1,1,4,1,0,0
Infrastructure Planning Commission,infrastructure-planning-commission,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Infrastructure UK,infrastructure-uk,Sub organisation,closed,hm-treasury,72,19,1,0,0,0,0,15,0,0,0,1,0,0,1,1,0,0
Innovate UK,innovate-uk,Sub organisation,exempt,uk-research-and-innovation,1099,64,7,0,0,0,0,5,0,0,43,5,2,0,0,1,1,0
Inquiry into the supervision of the Bank of Credit and Commerce International,inquiry-into-the-supervision-of-the-bank-of-credit-and-commerce-international,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Insolvency List,insolvency-list,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insolvency Practitioners Tribunal,insolvency-practitioners-tribunal,Tribunal,closed,department-for-business-energy-and-industrial-strategy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insolvency Rules Committee,insolvency-rules-committee,Advisory non-departmental public body,live,ministry-of-justice,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Institute for Apprenticeships ,institute-for-apprenticeships,Executive non-departmental public body,closed,department-for-education,15,5,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0
Institute for Apprenticeships and Technical Education,institute-for-apprenticeships-and-technical-education,Executive non-departmental public body,closed,department-for-education,13,11,1,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0
Intellectual Property Enterprise Court,intellectual-property-enterprise-court,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intellectual Property Office,intellectual-property-office,Executive agency,live,department-for-science-innovation-and-technology,2754,1742,158,78,130,434,7,9,441,0,135,145,0,1,23,44,0,137
Intelligence Analysis ,civil-service-intelligence-analysis-profession,Sub organisation,live,civil-service,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intelligence Services Commissioner,intelligence-services-commissioner,Other,closed,home-office,16,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Interception of Communications Commissioner,interception-of-communications-commissioner,Other,closed,home-office,19,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Internal Audit Profession,civil-service-internal-audit-profession,Sub organisation,live,civil-service,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Invest Northern Ireland,invest-northern-ireland,Other,exempt,department-for-the-economy-northern-ireland,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigatory Powers Commissioner's Office,investigatory-powers-commissioners-office,Other,exempt,home-office,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
